"data_year","ori","pub_agency_name","pub_agency_unit","agency_type_name","state_abbr","state_name","division_name","county_name","region_name","population_group_code","population_group_desc","offense_code","offense_name","offender_race","offender_ethnicity","offender_age","offender_sex","victim_type_code","victim_type_name","location_code","location_name","weapon_code","weapon_name","prop_desc_code","data_year","prop_desc_code","prop_desc_name","stolen_value","recovered_value","recovered_flag","date_recovered"
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23D",Theft From Building,,,,,I,Individual,"20",Residence/Home,,,"77",2021,"77",Other,300,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","290",Destruction/Damage/Vandalism of Property,,,,,I,Individual,"20",Residence/Home,,,"77",2021,"77",Other,300,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","26F",Identity Theft,,,,,I,Individual,"25",Other/Unknown,,,"66",2021,"66",Identity-Intangible,0,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23F",Theft From Motor Vehicle,Black or African American,Unknown,99,M,I,Individual,"18",Parking/Drop Lot/Garage,,,"13",2021,"13",Firearms,500,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23D",Theft From Building,,,,,I,Individual,"20",Residence/Home,,,"46",2021,"46",Collections/ Collectibles,1000,0,false,
2021,WV0200200,Charleston,,City,WV,West Virginia,South Atlantic,KANAWHA,South,"4","Cities from 25,000 thru 49,999","220",Burglary/Breaking & Entering,,,,,I,Individual,"20",Residence/Home,,,"77",2021,"77",Other,400,0,false,
2021,WV0200200,Charleston,,City,WV,West Virginia,South Atlantic,KANAWHA,South,"4","Cities from 25,000 thru 49,999","220",Burglary/Breaking & Entering,,,,,I,Individual,"20",Residence/Home,,,"44",2021,"44",Camping/ Hunting/ Fishing Equipment/ Supplies,285,0,false,
2021,WV0200200,Charleston,,City,WV,West Virginia,South Atlantic,KANAWHA,South,"4","Cities from 25,000 thru 49,999","220",Burglary/Breaking & Entering,,,,,I,Individual,"20",Residence/Home,,,"06",2021,"06",Clothes/ Furs,150,0,false,
2021,WV0350100,Wheeling,,City,WV,West Virginia,South Atlantic,"MARSHALL, OHIO",South,"4","Cities from 25,000 thru 49,999","35A",Drug/Narcotic Violations,Unknown,Not Specified,28,F,I,Individual,"18",Parking/Drop Lot/Garage,,,"20",2021,"20",Money,102,0,false,
2021,WV0350100,Wheeling,,City,WV,West Virginia,South Atlantic,"MARSHALL, OHIO",South,"4","Cities from 25,000 thru 49,999","23H",All Other Larceny,Unknown,Not Specified,28,F,I,Individual,"08",Department/Discount Store,,,"20",2021,"20",Money,102,0,false,
